ship_type,SHIPNAME,SHIP_ID,LAT,LON,dist_value,DATETIME,max_dist,max_DATETIME
Cargo,JOMI,370338,57.93277,11.67727,1497.1840632461683,2016-12-15T11:27:06Z,1497.1840632461683,2016-12-15T11:27:06Z
Cargo,JONNI RITSCHER,757658,57.60165,11.66195,NA,2016-12-19T03:51:05Z,1392.9314780029247,2016-12-19T03:53:05Z
Cargo,JONNI RITSCHER,757658,57.61271,11.67293,1392.9314780029247,2016-12-19T03:53:05Z,1392.9314780029247,2016-12-19T03:53:05Z
Cargo,JSP ROVER,362817,54.60287,18.88745,0,2016-12-17T13:35:01Z,1997.3316160777485,2016-12-17T13:37:02Z
Cargo,JSP ROVER,362817,54.58729,18.87202,1997.3316160777485,2016-12-17T13:37:02Z,1997.3316160777485,2016-12-17T13:37:02Z
Cargo,JUNO,373303,54.52653,18.80179,0,2016-12-17T13:59:01Z,1418.1415508519194,2016-12-17T14:01:01Z
Cargo,JUNO,373303,54.53614,18.81624,1418.1415508519194,2016-12-17T14:01:01Z,1418.1415508519194,2016-12-17T14:01:01Z
Cargo,KAIE,300784,59.92081,30.00438,249.4329370932485,2016-12-18T17:01:04Z,809.7767775571509,2016-12-18T17:03:03Z
Cargo,KAIE,300784,59.91813,30.01789,809.7767775571509,2016-12-18T17:03:03Z,809.7767775571509,2016-12-18T17:03:03Z
Cargo,KAPITAN MIRONOV,288897,59.91975,30.01034,342.14416708220324,2016-12-20T02:27:04Z,940.7845604473173,2016-12-20T02:29:03Z
Cargo,KAPITAN MIRONOV,288897,59.91663,30.02603,940.7845604473173,2016-12-20T02:29:03Z,940.7845604473173,2016-12-20T02:29:03Z
Cargo,KAPITAN YAKOVLEV,289583,59.9024,30.09604,613.4607201244033,2016-12-16T08:57:04Z,1215.2827316917992,2016-12-16T08:59:03Z
Cargo,KAPITAN YAKOVLEV,289583,59.90648,30.07582,1215.2827316917992,2016-12-16T08:59:03Z,1215.2827316917992,2016-12-16T08:59:03Z
Cargo,KAREN C,195991,54.53817,18.68033,742.1176924277246,2016-12-18T11:03:06Z,1411.381524546551,2016-12-18T11:05:02Z
Cargo,KAREN C,195991,54.53733,18.6585,1411.381524546551,2016-12-18T11:05:02Z,1411.381524546551,2016-12-18T11:05:02Z
Cargo,KAROLI,2764,54.5644,18.83774,0,2016-12-19T12:55:01Z,3094.7225921723348,2016-12-19T12:59:02Z
